GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF274;Tourism Management;1986;7362;9348;475;926;1401;2461;8288;10749
WT 2020/21;SF074;Transport and Conveying Technology;316;44;360;31;11;42;347;55;402
WT 2020/21;SF209;Czech;4;19;23;2;25;27;6;44;50
WT 2020/21;SF158;Turkish Studies;64;247;311;43;99;142;107;346;453
WT 2020/21;SF458;Environmental Protection;886;1028;1914;552;376;928;1438;1404;2842
WT 2020/21;SF457;Environmental Technology (including Recycling);4199;2626;6825;776;651;1427;4975;3277;8252
WT 2020/21;SF548;Prehistory and Early History;455;518;973;41;49;90;496;567;1063
WT 2020/21;SF226;Process Engineering;5052;3044;8096;1183;942;2125;6235;3986;10221
WT 2020/21;SF170;Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF089;Transport Engineering;3304;987;4291;891;280;1171;4195;1267;5462
WT 2020/21;SF268;Transportation Systems;-;-;-;-;-;-;-;-;-
WT 2020/21;SF210;Transport Economics;1115;459;1574;288;182;470;1403;641;2044
WT 2020/21;SF171;Surveying (Geodesy);3008;1254;4262;758;400;1158;3766;1654;5420
WT 2020/21;SF213;Supply Technology;2464;427;2891;263;87;350;2727;514;3241
WT 2020/21;SF172;Administrative Science/Public Administration;6906;10228;17134;210;294;504;7116;10522;17638
WT 2020/21;SF174;Folklore;275;821;1096;23;100;123;298;921;1219
WT 2020/21;SF175;Economics;11991;5489;17480;2329;2403;4732;14320;7892;22212
WT 2020/21;SF094;Hydraulic Engineering;648;432;1080;181;167;348;829;599;1428
WT 2020/21;SF077;Water Management;529;330;859;319;199;518;848;529;1377
WT 2020/21;SF227;Viticulture and Oenology;713;410;1123;125;96;221;838;506;1344
WT 2020/21;SF201;Handicrafts (technical)/Technology;144;257;401;3;27;30;147;284;431
WT 2020/21;SF176;Handicrafts Education;30;74;104;-;-;-;30;74;104
WT 2020/21;SF177;Materials Technology;2726;948;3674;1159;494;1653;3885;1442;5327
WT 2020/21;SF130;Western Slavic (general and n.e.c.);10;17;27;4;6;10;14;23;37
WT 2020/21;SF178;Economic/Social Geography;278;256;534;15;15;30;293;271;564
WT 2020/21;SF183;Economic/Social History;110;93;203;16;45;61;126;138;264
WT 2020/21;SF277;Business Informatics;46532;11179;57711;5717;3294;9011;52249;14473;66722
WT 2020/21;SF370;Business Engineering spec. in Engineering Sciences;45320;12303;57623;8588;3909;12497;53908;16212;70120
WT 2020/21;SF179;Business Engineering specialising in Economics;21961;7334;29295;3073;1462;4535;25034;8796;33830
WT 2020/21;SF276;Business Mathematics;3557;2260;5817;598;783;1381;4155;3043;7198
WT 2020/21;SF181;Business and Economics Education;2585;4215;6800;81;265;346;2666;4480;7146
WT 2020/21;SF042;Business Law;8643;12105;20748;668;1311;1979;9311;13416;22727
WT 2020/21;SF184;Business and Economics;44022;33765;77787;5371;6318;11689;49393;40083;89476
WT 2020/21;SF275;History of Science/History of Technology;26;8;34;1;-;1;27;8;35
WT 2020/21;SF185;Dentistry;4284;8980;13264;1062;1249;2311;5346;10229;15575
